File;URL;Alt attuale;Alt suggerito;Peso;Formato;Convertire in WebP;Comprimere
Logo_Bianco_01.svg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Logo_Bianco_01.svg;;Logo Bianco 01 | Max Digital Innovation Palermo;1 KB;svg;no;no
menu-b.svg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/menu-b.svg;;menu b | Max Digital Innovation Palermo;0 KB;svg;no;no
close-b.svg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/close-b.svg;;close b | Max Digital Innovation Palermo;0 KB;svg;no;no
close.svg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/close.svg;;close | Max Digital Innovation Palermo;0 KB;svg;no;no
menu.svg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/menu.svg;;menu | Max Digital Innovation Palermo;0 KB;svg;no;no
nupi.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/nupi.webp;;nupi.webp | Max Digital Innovation Palermo;6 KB;webp;no;no
riccio.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/riccio.webp;;riccio.webp | Max Digital Innovation Palermo;6 KB;webp;no;no
stoliva.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/stoliva.webp;;stoliva.webp | Max Digital Innovation Palermo;5 KB;webp;no;no
vidauto.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/vidauto.webp;;vidauto.webp | Max Digital Innovation Palermo;7 KB;webp;no;no
vivaio-addaura.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/vivaio-addaura.webp;;vivaio addaura.webp | Max Digital Innovation Palermo;7 KB;webp;no;no
dimora-garibaldi.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/dimora-garibaldi.webp;;dimora garibaldi.webp | Max Digital Innovation Palermo;4 KB;webp;no;no
facella.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/facella.webp;;facella.webp | Max Digital Innovation Palermo;5 KB;webp;no;no
grigoli.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/grigoli.webp;;grigoli.webp | Max Digital Innovation Palermo;5 KB;webp;no;no
i-morgante.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/i-morgante.webp;;i morgante.webp | Max Digital Innovation Palermo;6 KB;webp;no;no
la-dolce-vita.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/la-dolce-vita.webp;;la dolce vita.webp | Max Digital Innovation Palermo;12 KB;webp;no;no
